,loss,accuracy,val_loss,val_accuracy
0,1.184515357017517,0.5629820227622986,0.7745627760887146,0.6124030947685242
1,0.7347465753555298,0.6718080639839172,0.5194490551948547,0.7674418687820435
2,0.5837775468826294,0.7343615889549255,0.46245983242988586,0.7906976938247681
3,0.5202012658119202,0.7609254717826843,0.42003941535949707,0.7984496355056763
4,0.4812740385532379,0.7694944143295288,0.3960247039794922,0.8217054009437561
5,0.44354304671287537,0.7909168601036072,0.3703645169734955,0.8527131676673889
6,0.42070823907852173,0.7900599837303162,0.3651360869407654,0.8372092843055725
7,0.3972048759460449,0.8046272397041321,0.33889439702033997,0.8759689927101135
8,0.3747580945491791,0.8089117407798767,0.3383156955242157,0.8682170510292053
9,0.35494744777679443,0.8277634978294373,0.32485008239746094,0.8837209343910217
10,0.341413676738739,0.8346186876296997,0.32191675901412964,0.8759689927101135
11,0.3271891474723816,0.84404456615448,0.3196043074131012,0.8759689927101135
12,0.31297948956489563,0.8526135683059692,0.309663861989975,0.8759689927101135
13,0.3062068819999695,0.8500428199768066,0.3026845455169678,0.8837209343910217
14,0.2908496558666229,0.870608389377594,0.30071699619293213,0.8682170510292053
15,0.28204184770584106,0.8714653253555298,0.2915816307067871,0.8759689927101135
16,0.2708393931388855,0.8740360140800476,0.31380364298820496,0.8527131676673889
17,0.26848214864730835,0.8748928904533386,0.28499624133110046,0.8682170510292053
18,0.25764739513397217,0.8843187689781189,0.2881861925125122,0.8759689927101135
19,0.2516120970249176,0.8834618926048279,0.28722500801086426,0.8682170510292053
20,0.24419334530830383,0.9031705260276794,0.2913156747817993,0.8682170510292053
